Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2019],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2017],
Abreu e Lima,2600054,abreu-limense,MARCOS JOS&Eacute; DA SILVA,126.193,99990,748.29,97.2,0.679,7.24,154773.90211,150392.49413,20164.90,
Afogados da Ingazeira,2600104,afogadense,JOSE COIMBRA PATRIOTA FILHO,377.696,37259,92.90,97.3,0.657,13.41,84524.28825,84199.55326,10945.33,
Afr&acirc;nio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,19635,11.80,98.7,0.588,23.08,48071.21326,46130.64133,8559.79,
Agrestina,2600302,agrestinense,THIAGO LUCENA NUNES,200.581,24885,112.58,96.4,0.592,5.92,61063.16654,60315.06588,10074.04,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,EDUARDO PASSOS COUTINHO CORREA DE OLIVEI,533.332,36771,62.05,94,0.553,6.17,71553.7248,66100.20886,6595.33,
&Aacute;guas Belas,2600500,&aacute;guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.988,43443,45.41,96.1,0.526,20.86,84026.49512,81990.36581,7761.24,
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,216.452,14636,63.16,96.3,0.599,10.81,37869.57675,34348.50055,8587.97,
Alian&ccedil;a,2600708,aliancense,XISTO LOUREN&Ccedil;O DE FREITAS NETO,272.773,38386,137.16,97,0.604,13.33,74882.94228,78786.39428,8196.61,
Altinho,2600807,altinense,ORLANDO JOS&Eacute; DA SILVA,452.523,22972,49.18,96.9,0.598,21.58,41122.6787,41919.38972,6724.28,
Amaraji,2600906,amarajinense,RILDO REIS GOUVEIA,234.956,22829,93.37,96.6,0.580,19.74,49759.73815,49201.102,9225.60,
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.037,11150,86.43,96.4,0.572,23.26,31575.19313,28332.47878,10317.29,
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,JOAMY ALVES DE OLIVEIRA,96.381,20524,188.38,97,0.592,13.20,42647.83708,39742.10425,6859.40,
Araripina,2601102,araripinense,JOS&Eacute; RAIMUNDO PIMENTEL DO ESPIRITO SANTO,2037.394,84418,40.84,95.2,0.602,12.66,161988.93465,154891.63784,11790.02,
Arcoverde,2601201,arcoverdense,MARIA MADALENA SANTOS DE BRITTO,323.370,74338,196.05,97.3,0.667,27.63,147298.35801,140070.54537,13278.18,
Barra de Guabiraba,2601300,guabirabense,WILSON MADEIRO DA SILVA,120.583,14385,111.43,93.7,0.577,5.75,34559.27834,33809.47144,7156.59,
Barreiros,2601409,barreirense,ELIMARIO DE MELO FARIAS,233.433,42659,174.54,94.6,0.586,15.67,88084.64946,98862.16936,10125.96,
Bel&eacute;m de Maria,2601508,belenense,ROLPH EBER CASALE JUNIOR,75.142,12073,153.96,98.5,0.578,8.06,29443.89599,27685.46938,6405.33,
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,LICINIO ANTONIO LUSTOSA RORIZ,1830.797,20729,11.06,97.3,0.642,16.13,51511.47673,53037.46969,9832.53,
Belo Jardim,2601706,belo-jardinense,FRANCISCO H&Eacute;LIO DE MELO SANTOS,647.696,76439,111.83,97.1,0.629,10.36,178709.72434,157963.60349,23752.18,
Bet&acirc;nia,2601805,betaniense,M&Aacute;RIO GOMES FL&Ocirc;R FILHO,1244.074,12719,9.65,93.8,0.559,21.62,33228.17382,30390.38364,7104.89,
Bezerros,2601904,bezerrense,SEVERINO OT&Aacute;VIO RAPOSO MONTEIRO,492.632,60798,119.53,95.9,0.606,7.84,111289.24211,124512.98396,11752.51,
Bodoc&oacute;,2602001,bodocense,TULIO ALVES ALCANTARA,1621.786,38146,21.75,95.7,0.565,18.52,77842.57636,74404.09274,6541.69,
Bom Conselho,2602100,conselhense,DANNILO CAVALCANTE VIEIRA,792.185,48554,57.44,96.2,0.563,21.31,97387.10765,105775.569,9980.17,
Bom Jardim,2602209,bom-jardinense,JOAO FRANCISCO DE LIRA,218.433,39184,169.49,97,0.602,2.07,72928.45038,75331.6516,8712.58,
Bonito,2602308,bonitense,GUSTAVO ADOLFO NEVES DE ALBUQUERQUE C&Eacute;SA,390.107,38134,94.96,96.7,0.561,6.38,80127.0062,83316.49115,10589.81,
Brej&atilde;o,2602407,brejonense,ELISABETH BARROS DE SANTANA,159.786,8993,55.35,96.3,0.547,18.63,28469.45368,28431.68478,18766.23,
Brejinho,2602506,brejinhense,TANIA MARIA DOS SANTOS,106.276,7487,68.75,98.2,0.574,12.05,25360.88977,21767.43753,6932.93,
Brejo da Madre de Deus,2602605,brejense,HILARIO PAULO DA SILVA,762.346,50742,59.26,95.6,0.562,16.27,93034.245,99285.92713,7044.61,
Buenos Aires,2602704,buenairense,JOSE FABIO DE OLIVEIRA,93.187,13155,134.54,97.4,0.593,22.99,31630.67014,28339.49462,6962.61,
Bu&iacute;que,2602803,buiquense,ARQUIMEDES GUEDES VALEN&Ccedil;A,1320.870,58378,39.18,94.7,0.527,19.81,104123.27125,100810.38233,7124.99,
Cabo de Santo Agostinho,2602902,cabense,LUIZ CABRAL DE OLIVEIRA FILHO,445.343,207048,412.33,96.5,0.686,8.41,824731.45857,597762.02822,48689.25,
Cabrob&oacute;,2603009,cabroboense,MARC&Iacute;LIO RODRIGUES CAVALCANTI,1658.616,34221,18.62,97.6,0.623,20.72,74974.98517,75912.01263,11948.10,
Cachoeirinha,2603108,cachoeirinhense,IVALDO DE ALMEIDA,179.262,20380,104.98,95.3,0.579,14.81,45026.0073,37627.88473,10005.32,
Caet&eacute;s,2603207,caeteense,ARMANDO DUARTE DE ALMEIDA,294.946,28739,80.66,92.6,0.522,13.45,60636.9934,57617.63269,14646.07,
Cal&ccedil;ado,2603306,cal&ccedil;adense,FRANCISCO EXPEDITO DA PAZ NOGUEIRA,121.945,11053,91.23,97.1,0.566,27.21,29908.52446,30462.51097,8169.64,
Calumbi,2603405,calumbiense,SANDRA DE CACIA PEREIRA DE MAGALHAES NOV,179.314,5750,31.50,95.3,0.571,18.69,21225.39354,20122.05327,8282.63,
Camaragibe,2603454,camaragibense,DEMOSTENES E SILVA MEIRA,51.257,157828,2818.46,97.4,0.692,14.75,281348.77533,230504.36035,11238.05,
Camocim de S&atilde;o F&eacute;lix,2603504,camociense ou camocinense,GIORGE DO CARMO BEZERRA,71.985,18765,235.99,97,0.588,17.70,39319.76709,36025.38254,8652.75,
Camutanga,2603603,camutanguense,ARMANDO PIMENTEL DA ROCHA,39.116,8551,217.39,97.9,0.606,9.26,33111.61483,30565.25951,22432.84,
Canhotinho,2603702,canhotinhense,FELIPE PORTO DE BARROS WANDERLEY LIMA,423.168,24804,57.96,91.8,0.541,8.33,60821.06924,55903.84664,7792.95,
Capoeiras,2603801,capoeirense,LUCINEIDE ALMEIDA REINO,336.329,20048,58.26,96.5,0.549,21.37,48393.02108,45999.66013,9951.33,
Carna&iacute;ba,2603900,carnaibano,JOSE DE ANCHIETA GOMES PATRIOTA,427.802,19551,43.42,96.1,0.583,22.30,46405.34044,41106.30414,7454.69,
Carnaubeira da Penha,2603926,carnaubeirense,MANOEL JOSE DA SILVA,1004.667,12932,11.73,98.1,0.573,11.24,26786.40047,28037.73757,6022.06,
Carpina,2604007,carpinense,MANUEL SEVERINO DA SILVA,147.666,83641,516.51,95.5,0.680,12.95,141304.60327,127645.62762,15951.98,
Caruaru,2604106,caruaruense,RAQUEL TEIXEIRA LYRA,920.610,361118,342.07,94.9,0.677,11.98,669460.37758,617694.32903,19311.06,
Casinhas,2604155,casinhense,JOAO BARBOSA CAMELO NETO,115.868,14341,118.81,97.5,0.567,11.98,38794.2892,35000.43381,6320.88,
Catende,2604205,catendense,JOSIBIAS DARCY DE CASTRO CAVALCANTI,207.244,42892,182.49,95.2,0.609,12.37,83649.81248,78662.80028,6829.50,
Cedro,2604304,cedrense,ANTONIO INOC&Ecirc;NCIO LEITE,148.746,11807,72.45,95.5,0.615,14.18,32206.71799,31746.40266,7485.06,
Ch&atilde; de Alegria,2604403,alegriense,TARCISO MASSENA PEREIRA DA SILVA,48.548,13518,255.50,97.1,0.604,13.33,29831.12227,28530.09995,10300.03,
Ch&atilde; Grande,2604502,ch&atilde;-grandense,DIOGO ALEXANDRE GOMES NETO,84.848,21698,237.33,96.7,0.599,10.00,52044.76996,52010.73032,9658.17,
Condado,2604601,condadense,ANTONIO CASSIANO DA SILVA,89.645,26421,270.87,97.3,0.602,7.79,53884.35881,51552.309,8184.68,
