Municipio, IDHM, IDHM-L, IDHM-E, IDHM-R
Abreu e Lima,0.679,0.791,0.632,0.625
Afogados da Ingazeira,0.657,0.807,0.565,0.623
Afrânio,0.588,0.761,0.493,0.542
Agrestina,0.592,0.76,0.47,0.581
Água Preta,0.553,0.761,0.432,0.514
Águas Belas,0.526,0.691,0.385,0.546
Alagoinha,0.599,0.801,0.472,0.569
Aliança,0.604,0.799,0.488,0.565
Altinho,0.598,0.792,0.482,0.559
Amaraji,0.58,0.748,0.454,0.575
Angelim,0.572,0.751,0.448,0.555
Araçoiaba,0.592,0.765,0.498,0.544
Araripina,0.602,0.785,0.467,0.595
Arcoverde,0.667,0.799,0.567,0.654
Barra de Guabiraba,0.577,0.726,0.474,0.558
Barreiros,0.586,0.73,0.491,0.561
Belém de Maria,0.578,0.749,0.479,0.537
Belém do São Francisco,0.642,0.784,0.553,0.611
Belo Jardim,0.629,0.783,0.514,0.617
Betânia,0.559,0.742,0.441,0.533
Bezerros,0.606,0.752,0.487,0.608
Bodocó,0.565,0.745,0.445,0.543
Bom Conselho,0.563,0.704,0.433,0.585
Bom Jardim,0.602,0.767,0.515,0.552
Bonito,0.561,0.754,0.42,0.559
Brejão,0.547,0.725,0.417,0.54
Brejinho,0.574,0.681,0.493,0.563
Brejo da Madre de Deus,0.562,0.734,0.417,0.581
Buenos Aires,0.593,0.778,0.481,0.556
Buíque,0.527,0.746,0.395,0.497
Cabo de Santo Agostinho,0.686,0.812,0.609,0.654
Cabrobó,0.623,0.773,0.539,0.581
Cachoeirinha,0.579,0.753,0.439,0.587
Caetés,0.522,0.732,0.392,0.497
Calçado,0.566,0.731,0.468,0.529
Calumbi,0.571,0.715,0.46,0.567
Camaragibe,0.692,0.805,0.628,0.656
Camocim de São Félix,0.588,0.738,0.472,0.585
Camutanga,0.606,0.76,0.514,0.57
Canhotinho,0.541,0.725,0.403,0.543
Capoeiras,0.549,0.746,0.419,0.529
Carnaíba,0.583,0.727,0.505,0.54
Carnaubeira da Penha,0.573,0.755,0.508,0.491
Carpina,0.68,0.806,0.619,0.63
Caruaru,0.677,0.799,0.569,0.681
Casinhas,0.567,0.721,0.489,0.518
Catende,0.609,0.76,0.515,0.578
Cedro,0.615,0.717,0.573,0.565
Chã de Alegria,0.604,0.762,0.529,0.546
Chã Grande,0.599,0.803,0.443,0.603
Condado,0.602,0.713,0.527,0.581
Correntes,0.536,0.726,0.385,0.551
Cortês,0.568,0.707,0.478,0.541
Cumaru,0.572,0.72,0.47,0.553
Cupira,0.592,0.763,0.453,0.601
Custódia,0.594,0.706,0.489,0.607
Dormentes,0.589,0.741,0.495,0.558
Escada,0.632,0.781,0.543,0.594
Exu,0.576,0.775,0.454,0.543
Feira Nova,0.6,0.807,0.46,0.581
Fernando de Noronha,0.788,0.839,0.748,0.781
Ferreiros,0.622,0.787,0.519,0.589
Flores,0.556,0.745,0.423,0.544
Floresta,0.626,0.775,0.538,0.588
Frei Miguelinho,0.576,0.758,0.438,0.575
Gameleira,0.602,0.759,0.532,0.541
Garanhuns,0.664,0.795,0.556,0.662
Glória do Goitá,0.604,0.765,0.506,0.57
Goiana,0.651,0.779,0.576,0.614
Granito,0.595,0.773,0.502,0.543
Gravatá,0.634,0.794,0.51,0.63
Iati,0.528,0.768,0.369,0.518
Ibimirim,0.552,0.706,0.446,0.533
Ibirajuba,0.58,0.753,0.476,0.545
Igarassu,0.665,0.781,0.606,0.622
Iguaracy,0.598,0.77,0.48,0.58
Inajá,0.523,0.711,0.4,0.503
Ingazeira,0.608,0.766,0.51,0.575
Ipojuca,0.619,0.774,0.499,0.613
Ipubi,0.55,0.712,0.433,0.541
Itacuruba,0.595,0.712,0.523,0.567
Itaíba,0.51,0.688,0.364,0.531
Ilha de Itamaracá,0.653,0.809,0.548,0.627
Itambé,0.575,0.727,0.463,0.566
Itapetim,0.592,0.704,0.494,0.598
Itapissuma,0.633,0.764,0.564,0.589
Itaquitinga,0.586,0.715,0.509,0.554
Jaboatão dos Guararapes,0.717,0.83,0.642,0.692
Jaqueira,0.575,0.751,0.454,0.557
Jataúba,0.53,0.712,0.381,0.549
Jatobá,0.645,0.775,0.573,0.604
João Alfredo,0.576,0.72,0.466,0.569
Joaquim Nabuco,0.554,0.676,0.449,0.561
Jucati,0.55,0.681,0.451,0.541
Jupi,0.575,0.698,0.487,0.56
Jurema,0.509,0.681,0.372,0.522
Lagoa do Carro,0.609,0.789,0.505,0.566
Lagoa de Itaenga,0.602,0.774,0.509,0.555
Lagoa do Ouro,0.525,0.733,0.369,0.536
Lagoa dos Gatos,0.551,0.725,0.416,0.555
Lagoa Grande,0.597,0.705,0.52,0.581
Lajedo,0.611,0.758,0.503,0.599
Limoeiro,0.663,0.797,0.583,0.628
Macaparana,0.609,0.778,0.508,0.571
Machados,0.578,0.767,0.466,0.541
Manari,0.487,0.682,0.354,0.477
Maraial,0.534,0.698,0.403,0.541
Mirandiba,0.591,0.769,0.525,0.512
Moreno,0.652,0.805,0.564,0.61
Nazaré da Mata,0.662,0.789,0.604,0.608
Olinda,0.735,0.836,0.675,0.704
Orobó,0.61,0.787,0.528,0.545
Orocó,0.61,0.766,0.553,0.536
Ouricuri,0.572,0.773,0.419,0.578
Palmares,0.622,0.744,0.55,0.588
Palmeirina,0.549,0.681,0.438,0.554
Panelas,0.569,0.778,0.433,0.546
Paranatama,0.537,0.703,0.418,0.528
Parnamirim,0.599,0.776,0.499,0.556
Passira,0.592,0.763,0.487,0.559
Paudalho,0.639,0.782,0.545,0.612
Paulista,0.732,0.83,0.703,0.673
Pedra,0.567,0.743,0.445,0.55
Pesqueira,0.61,0.751,0.506,0.597
Petrolândia,0.623,0.755,0.531,0.604
Petrolina,0.697,0.799,0.611,0.695
Poção,0.528,0.677,0.402,0.542
Pombos,0.598,0.79,0.463,0.584
Primavera,0.58,0.767,0.444,0.572
Quipapá,0.552,0.743,0.427,0.53
Quixaba,0.577,0.752,0.482,0.53
Recife,0.772,0.825,0.698,0.798
Riacho das Almas,0.57,0.757,0.418,0.586
Ribeirão,0.602,0.711,0.516,0.595
Rio Formoso,0.613,0.809,0.506,0.562
Sairé,0.585,0.784,0.44,0.581
Salgadinho,0.534,0.73,0.405,0.516
Salgueiro,0.669,0.799,0.58,0.645
Saloá,0.559,0.744,0.421,0.559
Sanharó,0.603,0.758,0.514,0.564
Santa Cruz,0.549,0.722,0.438,0.522
Santa Cruz da Baixa Verde,0.612,0.786,0.523,0.557
Santa Cruz do Capibaribe,0.648,0.806,0.506,0.667
